COTSI,CLIFY,34.070861111111114,-118.46176944444444,34.01017777777778,-118.45710555555556
COTSI,MIPTE,34.070861111111114,-118.46176944444444,34.05848611111111,-118.4007888888889
MIPTE,DAHJR,34.05848611111111,-118.4007888888889,34.027175,-118.35839444444444
CLIFY,DAHJR,34.01017777777778,-118.45710555555556,34.027175,-118.35839444444444
DAHJR,GADDO,34.027175,-118.35839444444444,34.03326111111111,-118.29868055555555
GADDO,NERDS,34.03326111111111,-118.29868055555555,34.03697222222222,-118.26212777777778
NERDS,FANGY,34.03697222222222,-118.26212777777778,34.040902777777774,-118.15330833333334
FANGY,MERCE,34.040902777777774,-118.15330833333334,33.98078888888889,-118.11826666666666
FANGY,BOUBY,34.040902777777774,-118.15330833333334,33.97445277777778,-118.16224166666667
FANGY,SHELL,34.040902777777774,-118.15330833333334,33.96268611111111,-118.15438055555556
CLIFY,TRNDO,34.01017777777778,-118.45710555555556,33.89206111111111,-118.10693055555555
ZANAV,ARBIE,33.96103333333333,-118.31421666666667,33.955600000000004,-118.36774444444444
JETSA,ZANAV,33.964983333333336,-118.27542777777778,33.96103333333333,-118.31421666666667
MUBME,JETSA,33.96736111111111,-118.25196944444444,33.964983333333336,-118.27542777777778
MERCE,MUBME,33.98078888888889,-118.11826666666666,33.96736111111111,-118.25196944444444
BROUK,MERCE,33.98713611111111,-118.05458333333333,33.98078888888889,-118.11826666666666
ZIMLO,CORTY,33.958911111111114,-118.316,33.95384722222222,-118.36586944444444
SUTIE,ZIMLO,33.96308055555556,-118.27500833333333,33.958911111111114,-118.316
IFIJU,SUTIE,33.965447222222224,-118.25169722222222,33.96308055555556,-118.27500833333333
BOUBY,IFIJU,33.97445277777778,-118.16224166666667,33.965447222222224,-118.25169722222222
JULLI,BOUBY,33.97891111111111,-118.11766388888888,33.97445277777778,-118.16224166666667
FAYZE,JULLI,33.985258333333334,-118.05398333333333,33.97891111111111,-118.11766388888888
FILBA,GRIMY,33.948074999999996,-118.29923333333333,33.94331388888889,-118.34612222222222
FOGLA,FILBA,33.95066388888889,-118.27369166666666,33.948074999999996,-118.29923333333333
AYITU,FOGLA,33.95310555555556,-118.24983333333333,33.95066388888889,-118.27369166666666
KURXO,AYITU,33.95850277777778,-118.21243611111112,33.95310555555556,-118.24983333333333
SHELL,KURXO,33.96268611111111,-118.15438055555556,33.95850277777778,-118.21243611111112
FALLT,SHELL,33.97123611111111,-118.06882777777777,33.96268611111111,-118.15438055555556
ESINE,LADLE,33.945611111111106,-118.30169722222222,33.940911111111106,-118.34788611111111
LIMMA,ESINE,33.94846111111111,-118.27356666666667,33.945611111111106,-118.30169722222222
WAVUD,LIMMA,33.95086111111112,-118.24962222222223,33.94846111111111,-118.27356666666667
GIRBE,WAVUD,33.95619444444445,-118.20995833333333,33.95086111111112,-118.24962222222223
HUNDA,GIRBE,33.959719444444445,-118.16212222222222,33.95619444444445,-118.20995833333333
GAATE,HUNDA,33.96845277777778,-118.07456388888889,33.959719444444445,-118.16212222222222
TRNDO,NORWA,33.89206111111111,-118.10693055555555,33.900394444444444,-118.06457499999999
NORWA,WELLZ,33.900394444444444,-118.06457499999999,33.935088888888885,-118.07068888888888
WELLZ,HUNDA,33.935088888888885,-118.07068888888888,33.959719444444445,-118.16212222222222
WELLZ,SHELL,33.935088888888885,-118.07068888888888,33.96268611111111,-118.15438055555556
BASET,FALLT,33.97870555555556,-117.97853888888889,33.97123611111111,-118.06882777777777
MUSIK,BASET,33.988175,-117.89746944444445,33.97870555555556,-117.97853888888889
JURPE,MUSIK,33.99575277777778,-117.81991666666666,33.988175,-117.89746944444445
TAANK,JURPE,34.00236944444445,-117.75182222222222,33.99575277777778,-117.81991666666666
LYCOM,TAANK,34.00908611111111,-117.6824388888889,34.00236944444445,-117.75182222222222
BASET,GAATE,33.97870555555556,-117.97853888888889,33.96845277777778,-118.07456388888889
FUELR,BASET,33.986019444444445,-117.89688611111112,33.97870555555556,-117.97853888888889
DYMMO,FUELR,33.99356111111111,-117.81931666666667,33.986019444444445,-117.89688611111112
TAROC,DYMMO,34.00018333333333,-117.75175,33.99356111111111,-117.81931666666667
KRAIN,TAROC,34.006841666666666,-117.68279722222222,34.00018333333333,-117.75175
SEAVU,KRAIN,33.97241388888889,-117.48848611111111,34.006841666666666,-117.68279722222222
SEAVU,CLPUR,33.97241388888889,-117.48848611111111,33.9502,-117.67691388888889
CLPUR,POWUP,33.9502,-117.67691388888889,33.94479166666666,-117.85182499999999
POWUP,FUELR,33.94479166666666,-117.85182499999999,33.986019444444445,-117.89688611111112
POWUP,GAATE,33.94479166666666,-117.85182499999999,33.96845277777778,-118.07456388888889
CLPUR,TAROC,33.9502,-117.67691388888889,34.00018333333333,-117.75175
CLPUR,DYMMO,33.9502,-117.67691388888889,33.99356111111111,-117.81931666666667
POWUP,WELLZ,33.94479166666666,-117.85182499999999,33.935088888888885,-118.07068888888888
KRAIN,TAANK,34.006841666666666,-117.68279722222222,34.00236944444445,-117.75182222222222
POWUP,FALLT,33.94479166666666,-117.85182499999999,33.97123611111111,-118.06882777777777
ROYAL,FAYZE,33.99178888888889,-117.99698055555555,33.985258333333334,-118.05398333333333
HURLR,ROYAL,33.99925833333334,-117.9123388888889,33.99178888888889,-117.99698055555555
WLNUT,HURLR,34.006277777777775,-117.8406611111111,33.99925833333334,-117.9123388888889
SALWA,WLNUT,34.01325555555555,-117.76897222222222,34.006277777777775,-117.8406611111111
PFILA,SALWA,34.02019166666667,-117.69727222222222,34.01325555555555,-117.76897222222222
ROYAL,BROUK,33.99178888888889,-117.99698055555555,33.98713611111111,-118.05458333333333
PALAC,ROYAL,34.001063888888886,-117.91366666666667,33.99178888888889,-117.99698055555555
BREEA,PALAC,34.00808611111111,-117.84198888888888,34.001063888888886,-117.91366666666667
DECOR,BREEA,34.01506388888889,-117.77029722222223,34.00808611111111,-117.84198888888888
SKOLL,DECOR,34.022,-117.69859722222223,34.01506388888889,-117.77029722222223
CRCUS,SKOLL,34.07320277777778,-117.49843888888888,34.022,-117.69859722222223
SKOLL,SALWA,34.022,-117.69859722222223,34.01325555555555,-117.76897222222222
CRCUS,SEYKO,34.07320277777778,-117.49843888888888,34.05463611111111,-117.848925
SEYKO,PALAC,34.05463611111111,-117.848925,34.001063888888886,-117.91366666666667
SEYKO,ROYAL,34.05463611111111,-117.848925,33.99178888888889,-117.99698055555555
SEYKO,FANGY,34.05463611111111,-117.848925,34.040902777777774,-118.15330833333334
MIPTE,FANGY,34.05848611111111,-118.4007888888889,34.040902777777774,-118.15330833333334
BOUBY,MUBME,33.97445277777778,-118.16224166666667,33.96736111111111,-118.25196944444444
